id,year_birth,consumer_seg,region,cltv,activation_dt,recency,device_type,data_rev_6mths,voice_rev_6mths,tot_rev_6mths,total_purchases,total_engagements,digital_channel_purchases,ussd_channel_purchases,other_channels_purchases,PrevResponseCnt,complaint_cnt,response
8254,1974,HV seg,North,34596,2013-04-13,48,Non Smartphone,14,2,23,3,8,1,2,0,0,0,0
5184,1995,Youth Seg,West,34824,2014-03-26,65,Smartphone,6,13,23,3,6,1,2,0,0,0,0
2861,1983,Youth Seg,West,24072,2013-04-16,79,Non Smartphone,10,9,23,3,8,1,2,0,0,0,0
2620,1974,HV seg,North,34596,2013-04-13,48,Non Smartphone,14,2,23,3,8,1,2,0,0,0,1
2166,1960,Youth Seg,East,46779,2013-07-12,55,Non Smartphone,13,3,23,3,4,0,2,1,0,0,0
4102,1975,Youth Seg,North,37284,2013-03-29,46,Non Smartphone,12,5,23,3,6,0,3,0,0,0,0
2217,1975,Youth Seg,North,37284,2013-03-29,46,Non Smartphone,12,5,23,3,6,0,3,0,0,0,0
5493,1976,Youth Seg,North,39356,2014-03-19,21,Non Smartphone,15,2,23,3,6,1,2,0,1,0,0
8977,1985,Youth Seg,West,16581,2013-01-12,51,Smartphone,4,9,24,3,4,0,3,0,0,0,0
4290,1972,Youth Seg,North,30467,2014-03-19,8,Non Smartphone,4,15,24,3,7,1,2,0,0,0,0
5181,1982,Youth Seg,West,24367,2013-03-20,58,Non Smartphone,6,13,24,3,9,1,2,0,0,0,0
1890,1971,Youth Seg,Lagos,42033,2012-09-19,95,Non Smartphone,12,6,25,3,7,1,2,0,0,0,0
1176,1973,Youth Seg,North,26228,2013-09-22,50,Non Smartphone,8,8,25,3,8,1,2,0,0,0,0
9396,1978,HV seg,North,37717,2012-11-23,31,Non Smartphone,9,11,25,3,9,1,2,0,0,0,0
4198,1965,Youth Seg,Lagos,29672,2013-03-12,6,Non Smartphone,10,7,25,3,6,0,3,0,0,0,0
10451,1965,Youth Seg,Lagos,29672,2013-03-12,6,Non Smartphone,10,7,25,3,6,0,3,0,0,0,0
933,1978,HV seg,North,37717,2012-11-23,31,Non Smartphone,9,11,25,3,9,1,2,0,0,0,0
2686,1969,Youth Seg,Lagos,22390,2013-10-21,49,Smartphone,1,20,26,3,7,1,2,0,0,0,0
10913,1984,Mass Mkt Seg,West,31385,2012-12-05,56,Non Smartphone,5,13,27,3,8,1,2,0,1,0,1
10525,1986,Youth Seg,West,26576,2012-10-13,40,Non Smartphone,10,8,27,3,9,1,2,0,1,0,1
2281,1970,Youth Seg,West,33697,2013-09-15,34,Non Smartphone,7,10,28,3,7,1,2,0,1,0,0
1968,1971,Youth Seg,East,45684,2013-12-02,37,Non Smartphone,6,15,28,3,7,1,2,0,0,0,0
8369,1987,Youth Seg,Lagos,18227,2012-11-08,21,Non Smartphone,3,14,28,3,8,0,2,1,0,0,0
10250,1947,Youth Seg,Lagos,28389,2012-11-20,49,Smartphone,6,14,28,3,7,1,2,0,0,0,0
6147,1971,Youth Seg,East,25818,2012-10-18,51,Non Smartphone,7,12,28,3,7,0,2,1,0,0,0
2296,1975,Mass Mkt Seg,North,37368,2013-12-16,4,Non Smartphone,5,15,30,3,6,1,2,0,1,0,0
8372,1974,Youth Seg,North,34421,2013-07-01,81,Non Smartphone,6,15,30,3,7,1,2,0,0,0,0
520,1974,Youth Seg,North,34421,2013-07-01,81,Non Smartphone,6,15,30,3,7,1,2,0,0,0,0
2518,1986,Youth Seg,Lagos,20491,2013-01-25,16,Smartphone,9,11,30,3,7,0,2,1,0,0,0
10398,1981,Youth Seg,West,24336,2012-08-27,82,Non Smartphone,7,12,31,3,7,1,2,0,0,0,0
624,1984,Mass Mkt Seg,West,18890,2012-11-10,5,Smartphone,10,10,35,3,6,0,2,1,1,0,1
4329,1984,HV seg,North,18988,2014-05-23,43,Non Smartphone,6,9,16,4,7,1,3,0,0,0,0
7411,1964,HV seg,North,31686,2014-06-05,31,Non Smartphone,11,5,17,4,6,1,3,0,0,0,0
10914,1970,Youth Seg,West,24163,2013-10-12,3,Non Smartphone,5,10,17,4,4,1,3,0,0,0,0
9617,1951,Youth Seg,West,15033,2014-04-16,37,Smartphone,4,11,19,4,3,1,3,0,0,0,0
10560,1980,HV seg,West,36802,2014-06-16,23,Non Smartphone,17,2,20,4,5,1,3,0,0,0,0
8514,1976,Youth Seg,Lagos,29478,2014-01-17,59,Non Smartphone,8,11,20,4,6,1,3,0,0,0,0
3436,1969,Youth Seg,North,14045,2014-01-26,24,Non Smartphone,11,8,20,4,7,1,3,0,0,0,0
9467,1984,Youth Seg,West,34738,2014-05-11,51,Non Smartphone,5,13,20,4,6,1,3,0,0,0,0
11086,1984,Youth Seg,West,25707,2014-01-18,18,Non Smartphone,7,11,21,4,7,1,3,0,0,0,0
255,1951,Youth Seg,East,22263,2014-03-30,31,Non Smartphone,17,2,21,4,6,1,3,0,0,1,0
2256,1973,Mass Mkt Seg,North,27159,2014-03-29,33,Non Smartphone,17,3,21,4,6,1,3,0,0,0,0
11091,1953,Youth Seg,Lagos,34587,2014-05-16,68,Non Smartphone,9,11,22,4,4,1,3,0,0,0,0
451,1989,Youth Seg,West,9255,2013-12-20,91,Non Smartphone,9,9,22,4,8,1,2,1,0,0,0
6646,1984,Youth Seg,Lagos,16529,2014-03-01,23,Non Smartphone,3,18,22,4,6,1,3,0,0,0,0
577,1976,Youth Seg,Lagos,26907,2013-08-20,10,Non Smartphone,10,10,22,4,7,1,3,0,0,0,0
8702,1976,Youth Seg,Lagos,26907,2013-08-20,10,Non Smartphone,10,10,22,4,7,1,3,0,0,0,0
10432,1974,Youth Seg,East,19346,2014-01-30,26,Non Smartphone,2,18,22,4,8,1,3,0,0,0,0
10175,1958,HV seg,East,32173,2013-08-01,0,Smartphone,18,2,22,4,4,1,3,0,0,0,0
2936,1982,Mass Mkt Seg,Lagos,23661,2013-12-04,46,Non Smartphone,18,4,23,4,7,1,3,0,0,0,0
2694,1967,Youth Seg,North,42664,2014-03-18,44,Smartphone,21,3,24,4,6,1,3,0,0,0,0
3112,1977,Mass Mkt Seg,North,22701,2013-09-05,2,Non Smartphone,6,13,24,4,5,1,3,0,0,0,0
2292,1985,Youth Seg,West,22327,2013-08-02,94,Non Smartphone,9,10,24,4,5,1,3,0,0,0,0
7791,1967,Mass Mkt Seg,North,37054,2013-09-15,89,Non Smartphone,13,7,25,4,7,1,3,0,0,0,0
49,1970,Youth Seg,West,20587,2014-05-11,39,Non Smartphone,5,11,25,4,7,1,2,1,0,0,0
4547,1960,Youth Seg,Lagos,13672,2013-04-17,86,Non Smartphone,8,12,25,4,8,1,3,0,0,0,0
4973,1970,Youth Seg,West,20587,2014-05-11,39,Non Smartphone,5,11,25,4,7,1,2,1,0,0,0
4860,1970,Youth Seg,West,24206,2013-03-08,66,Non Smartphone,9,13,25,4,6,1,3,0,0,0,0
9081,1988,Youth Seg,West,20518,2014-05-18,58,Non Smartphone,5,11,25,4,5,1,2,1,0,0,0
10735,1971,Youth Seg,West,22804,2013-07-31,75,Non Smartphone,15,10,26,4,9,2,2,0,0,0,0
8162,1956,Mass Mkt Seg,Lagos,14661,2013-01-01,88,Smartphone,5,19,26,4,6,1,3,0,0,0,0
6958,1977,Mass Mkt Seg,North,27889,2013-07-05,42,Non Smartphone,14,4,26,4,6,1,2,1,0,0,0
5068,1971,Youth Seg,West,22804,2013-07-31,75,Non Smartphone,15,10,26,4,9,2,2,0,0,0,0
6340,1985,Youth Seg,West,29938,2013-10-27,52,Non Smartphone,6,9,26,4,6,1,3,0,0,0,0
798,1987,Youth Seg,West,23442,2012-12-24,71,Non Smartphone,2,20,27,4,7,1,3,0,0,0,0
2174,1954,Youth Seg,West,46344,2014-03-08,38,Non Smartphone,12,9,27,4,5,1,2,1,0,0,0
2549,1983,HV seg,Lagos,21840,2013-07-21,80,Non Smartphone,17,9,27,4,9,1,3,0,0,0,0
8477,1956,Youth Seg,East,26150,2013-03-11,61,Non Smartphone,6,21,28,4,7,1,3,0,0,0,0
113,1951,Youth Seg,North,30833,2013-07-16,33,Non Smartphone,11,11,28,4,5,1,3,0,0,0,0
1515,1975,Mass Mkt Seg,Lagos,34176,2014-01-22,9,Smartphone,13,13,28,4,3,1,3,0,0,0,0
9316,1952,Youth Seg,Lagos,13084,2013-11-02,29,Smartphone,2,17,29,4,6,1,3,0,0,0,0
5342,1976,Youth Seg,East,9548,2012-08-08,31,Non Smartphone,1,19,29,4,8,1,3,0,0,0,0
2557,1970,Mass Mkt Seg,West,29548,2013-08-29,52,Non Smartphone,8,10,29,4,4,1,2,1,1,0,0
3829,1979,Youth Seg,Lagos,24594,2013-12-10,94,Non Smartphone,4,16,29,4,5,1,3,0,0,0,0
8373,1979,Youth Seg,Lagos,24594,2013-12-10,94,Non Smartphone,4,16,29,4,5,1,3,0,0,0,0
7600,1992,Youth Seg,West,15253,2013-10-28,13,Non Smartphone,4,12,29,4,7,1,3,0,0,0,0
10839,1976,Youth Seg,Lagos,36283,2014-04-14,42,Non Smartphone,11,13,29,4,4,1,3,0,0,0,0
10390,1959,Youth Seg,North,26887,2013-02-10,27,Smartphone,13,11,30,4,6,1,3,0,0,0,0
8442,1985,Mass Mkt Seg,North,19510,2013-09-04,63,Non Smartphone,9,14,30,4,7,1,3,0,0,0,0
7444,1969,Mass Mkt Seg,North,42169,2013-10-19,20,Non Smartphone,19,9,30,4,8,1,3,0,0,0,0
5680,1984,Youth Seg,North,35684,2014-04-22,66,Non Smartphone,14,13,30,4,6,1,3,0,0,0,0
3231,1973,Youth Seg,North,37971,2013-11-25,97,Non Smartphone,9,14,30,4,8,1,3,0,0,0,0
916,1972,HV seg,West,41644,2014-05-09,67,Non Smartphone,23,6,31,4,3,1,3,0,0,0,0
2814,1976,Mass Mkt Seg,Lagos,30560,2013-06-27,6,Non Smartphone,10,14,31,4,7,1,3,0,0,0,0
2711,1976,Mass Mkt Seg,Lagos,30560,2013-06-27,6,Non Smartphone,10,14,31,4,7,1,3,0,0,0,0
6215,1977,Youth Seg,North,31353,2013-12-29,24,Non Smartphone,10,14,31,4,8,1,2,1,0,0,1
10264,1979,Youth Seg,East,15287,2012-10-10,60,Non Smartphone,3,15,31,4,7,1,2,1,1,0,1
7224,1977,Youth Seg,North,31353,2013-12-29,24,Non Smartphone,10,14,31,4,8,1,2,1,0,0,0
234,1979,Youth Seg,East,15287,2012-10-10,60,Non Smartphone,3,15,31,4,7,1,2,1,1,0,1
2173,1952,Youth Seg,East,40049,2013-10-16,23,Smartphone,19,10,32,4,6,1,3,0,0,0,0
10356,1957,HV seg,East,41437,2012-09-22,5,Non Smartphone,29,2,32,4,7,1,3,0,0,0,0
800,1960,Youth Seg,Lagos,44512,2013-08-30,57,Non Smartphone,24,6,32,4,4,1,3,0,0,0,0
3102,1981,Youth Seg,Lagos,19414,2013-10-16,32,Non Smartphone,5,20,32,4,8,1,3,0,0,0,0
10623,1961,Mass Mkt Seg,Lagos,48330,2013-11-15,2,Smartphone,28,4,32,4,5,1,3,0,0,0,0
5692,1989,Youth Seg,North,25443,2012-12-22,82,Non Smartphone,5,20,32,4,8,1,3,0,0,0,0
13,1947,HV seg,East,25358,2013-07-22,57,Smartphone,19,5,32,4,6,1,3,0,0,0,0
2874,1988,Youth Seg,East,35388,2013-03-07,20,Non Smartphone,10,14,32,4,7,1,3,0,0,0,0
11178,1972,Mass Mkt Seg,West,42394,2014-03-23,69,Non Smartphone,17,11,32,4,7,1,3,0,0,0,0
10708,1978,Youth Seg,West,36975,2013-12-28,50,Non Smartphone,16,15,33,4,7,1,3,0,0,0,0
5304,1974,HV seg,West,30899,2012-10-13,35,Non Smartphone,24,8,33,4,6,1,3,0,0,0,0
8341,1969,HV seg,North,30396,2014-04-30,22,Non Smartphone,15,7,34,4,7,1,2,1,1,0,1
6866,1969,Mass Mkt Seg,Lagos,35924,2014-03-23,56,Non Smartphone,8,19,34,4,5,1,3,0,0,0,0
3363,1974,Youth Seg,North,20130,2014-03-17,99,Smartphone,6,16,34,4,8,1,3,0,0,0,0
11007,1968,HV seg,North,29187,2013-05-09,43,Non Smartphone,26,6,34,4,8,1,3,0,0,0,0
5012,1989,Youth Seg,North,28691,2013-07-04,56,Non Smartphone,9,21,34,4,8,1,3,0,0,0,0
8082,1971,Youth Seg,North,25721,2013-05-21,75,Non Smartphone,4,15,34,4,7,1,2,1,0,0,1
2106,1974,Youth Seg,North,20130,2014-03-17,99,Smartphone,6,16,34,4,8,1,3,0,0,0,0
8397,1951,Youth Seg,North,44689,2014-01-10,82,Non Smartphone,18,5,34,4,7,1,2,1,1,0,0
5010,1988,Youth Seg,West,25008,2014-02-02,72,Non Smartphone,10,15,34,4,8,1,3,0,0,0,0
6918,1989,Youth Seg,North,28691,2013-07-04,56,Non Smartphone,9,21,34,4,8,1,3,0,0,0,0
8953,1965,Mass Mkt Seg,West,35791,2013-05-06,94,Non Smartphone,27,5,35,4,8,1,3,0,0,0,0
7186,1966,HV seg,Lagos,30843,2014-05-26,43,Non Smartphone,24,2,35,4,5,1,2,1,1,0,0
10258,1965,Mass Mkt Seg,West,35791,2013-05-06,94,Non Smartphone,27,5,35,4,8,1,3,0,0,0,0
6768,1962,Youth Seg,East,37859,2013-01-12,75,Non Smartphone,23,11,36,4,8,1,3,0,0,0,0
6347,1979,Youth Seg,West,15862,2013-06-27,26,Non Smartphone,2,24,36,4,8,1,3,0,0,0,0
5610,1965,Youth Seg,Lagos,33456,2014-04-21,58,Non Smartphone,10,19,36,4,7,1,3,0,0,0,0
6287,1986,Youth Seg,Lagos,34728,2013-07-30,2,Non Smartphone,14,16,36,4,6,1,2,1,0,0,1
10642,1989,Youth Seg,West,30279,2012-12-30,13,Non Smartphone,14,22,37,4,8,1,3,0,0,0,0
78,1969,Youth Seg,North,25293,2013-09-15,51,Non Smartphone,15,13,37,4,8,1,2,1,0,0,0
3896,1984,Youth Seg,North,27255,2013-11-07,3,Non Smartphone,23,12,37,4,7,1,3,0,0,0,0
5731,1983,Mass Mkt Seg,North,27100,2013-04-05,64,Non Smartphone,12,15,37,4,7,1,3,0,0,0,0
7152,1983,Mass Mkt Seg,North,27100,2013-04-05,64,Non Smartphone,12,15,37,4,7,1,3,0,0,0,0
5517,1969,Youth Seg,North,25293,2013-09-15,51,Non Smartphone,15,13,37,4,8,1,2,1,0,0,0
6682,1973,Youth Seg,North,18978,2012-12-11,41,Non Smartphone,10,12,37,4,8,1,3,0,0,0,0
7947,1969,Youth Seg,North,42231,2014-03-25,99,Non Smartphone,24,9,37,4,5,1,3,0,0,0,0
4459,1989,Youth Seg,West,30279,2012-12-30,13,Non Smartphone,14,22,37,4,8,1,3,0,0,0,0
5751,1973,Youth Seg,East,31163,2014-02-13,54,Non Smartphone,5,23,38,4,6,1,3,0,0,0,0
